City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Lincoln,14,AU,1587428090,62,-34.73,135.87,66.61,23.06
Makakilo City,1,US,1587427947,61,21.35,-158.09,82.4,8.05
Codrington,93,AU,1587428090,67,-38.27,141.97,58.64,18.43
Kazachinskoye,28,RU,1587428090,73,57.7,93.28,35.06,8.55
Bairiki Village,20,KI,1587428090,70,1.33,172.98,87.8,10.29
Punta Arenas,40,CL,1587428090,76,-53.15,-70.92,48.2,5.82
Atuona,2,PF,1587428090,72,-9.8,-139.03,82.62,11.23
Yellowknife,90,CA,1587428091,57,62.46,-114.35,23.0,6.93
Mackay,75,AU,1587428091,88,-21.15,149.2,80.01,12.75
Hithadhoo,73,MV,1587428091,70,-0.6,73.08,84.58,8.19
Airai,68,TL,1587428091,63,-8.93,125.41,67.23,3.44
Hobart,40,AU,1587428050,66,-42.88,147.33,55.0,9.17
Okoneshnikovo,91,RU,1587428091,64,54.84,75.08,53.33,11.59
Mankono,92,CI,1587428091,78,8.06,-6.19,75.56,3.13
Ulladulla,40,AU,1587428091,55,-35.35,150.47,66.99,6.93
New Norfolk,34,AU,1587428091,75,-42.78,147.06,54.0,5.01
Marsh Harbour,100,BS,1587428091,77,26.54,-77.06,81.77,21.94
Rikitea,24,PF,1587428092,71,-23.12,-134.97,77.13,9.42
Quatre Cocos,40,MU,1587428092,78,-20.21,57.76,77.0,17.22
Clyde River,90,CA,1587428092,77,70.47,-68.59,1.4,10.29
Pisco,0,PE,1587427852,77,-13.7,-76.22,68.0,20.8
Ushuaia,75,AR,1587428092,75,-54.8,-68.3,44.6,32.21
Nome,90,US,1587428092,86,64.5,-165.41,32.0,4.7
Bluff,87,NZ,1587428092,73,-46.6,168.33,57.0,5.01
Mīzan Teferī,64,ET,1587428092,48,6.98,35.58,66.87,2.21
Butaritari,95,KI,1587428093,78,3.07,172.79,82.62,13.69
Oyama,75,JP,1587428093,82,36.3,139.8,66.0,1.12
Vaini,75,TO,1587428093,78,-21.2,-175.2,82.4,10.29
Puri,29,IN,1587427986,86,19.8,85.85,80.29,14.45
Birjand,40,IR,1587428093,47,32.87,59.22,59.0,13.87
Tete,58,MZ,1587428093,88,-16.16,33.59,66.2,2.24
Stokmarknes,100,NO,1587428093,78,68.56,14.91,43.0,8.01
Port Blair,2,IN,1587428093,72,11.67,92.75,83.5,4.59
Port Elizabeth,75,ZA,1587428094,82,-33.92,25.57,64.4,12.75
Mercedes,1,AR,1587428094,66,-34.65,-59.43,72.0,1.66
Kanniyākumāri,96,IN,1587428094,73,8.08,77.57,84.25,10.31
Cururupu,81,BR,1587428094,89,-1.83,-44.87,77.81,4.41
Lompoc,40,US,1587428094,72,34.64,-120.46,60.8,13.87
Tromsø,75,NO,1587428094,93,69.65,18.96,37.4,19.46
Jamestown,1,US,1587428094,32,42.1,-79.24,44.01,5.82
Beloha,0,MG,1587428094,77,-25.17,45.05,68.86,11.83
Fort Nelson,75,CA,1587428094,22,58.81,-122.7,69.8,9.15
Hasaki,75,JP,1587428095,93,35.73,140.83,57.0,2.24
Ponta do Sol,20,PT,1587428095,55,32.67,-17.1,62.6,5.82
Barrow,90,US,1587427802,84,71.29,-156.79,6.8,8.05
Hermanus,99,ZA,1587428095,99,-34.42,19.23,57.0,8.05
Marzuq,70,YE,1587428095,56,14.4,46.47,69.39,7.52
Port Alfred,45,ZA,1587428095,92,-33.59,26.89,64.99,1.99
Mahébourg,40,MU,1587428095,78,-20.41,57.7,77.0,17.22
Griffith,75,US,1587428095,54,41.53,-87.42,57.99,20.8
Dingle,99,PH,1587428096,74,11.0,122.67,83.41,9.44
Dali,0,CN,1587428096,37,25.7,100.18,54.16,3.53
